study;animals;Grouping;Tax.group;Asymp.size
457;Seabirds;Birds;Birds;NA
457;"Squid &amp; cuttlefish";Cephalopods;Cephalopods;NA
457;Juvenile rays;Demersal;Elasmobranchs;NA
457;Skate + cuckoo ray;Demersal;Elasmobranchs;NA
457;Spurdog;Demersal;Elasmobranchs;NA
457;Large piscivorous sharks;Demersal;Elasmobranchs;NA
457;Juvenile sharks;Demersal;Elasmobranchs;NA
457;Small sharks;Demersal;Elasmobranchs;NA
457;Starry ray + others;Demersal;Elasmobranchs;NA
457;"Thornback &amp; Spotted ray";Demersal;Elasmobranchs;NA
457;Baleen whales;Mammal;Mammal;NA
457;Seals;Mammal;Mammal;NA
457;Toothed whales;Mammal;Mammal;NA
457;Detritus - DOM -water column;NA;NA;NA
457;Detritus - POM - sediment;NA;NA;NA
457;Blue whiting;Demersal;Teleost;NA
457;Catfish (Wolf-fish);Demersal;Teleost;NA
457;Cod (adult);Demersal;Teleost;NA
457;Dab;Demersal;Teleost;NA
457;Dragonets;Demersal;Teleost;NA
457;Flounder;Demersal;Teleost;NA
457;Gurnards;Demersal;Teleost;NA
457;Haddock (adult);Demersal;Teleost;NA
457;Hake;Demersal;Teleost;NA
457;Halibut;Demersal;Teleost;NA
457;Juvenile Cod(0-2, 0-40cm);Demersal;Teleost;NA
457;Juvenile Haddock (0-1, 0-20cm);Demersal;Teleost;NA
457;Juvenile Saithe (0-3, 0-40cm);Demersal;Teleost;NA
457;Juvenile Whiting (0-1, 0-20cm);Demersal;Teleost;NA
457;Large demersal fish;Demersal;Teleost;NA
457;Lemon sole;Demersal;Teleost;NA
457;Long-rough dab;Demersal;Teleost;NA
457;Megrim;Demersal;Teleost;NA
457;Monkfish;Demersal;Teleost;NA
457;Norway pout;Demersal;Teleost;NA
457;Other gadoids (large);Demersal;Teleost;NA
457;Other gadoids (small);Demersal;Teleost;NA
457;Plaice;Demersal;Teleost;NA
457;Saithe (adult);Demersal;Teleost;NA
457;Sandeels;Pelagic;Teleost;Small
457;Small demersal fish;Demersal;Teleost;NA
457;Sole;Demersal;Teleost;NA
457;Turbot and brill;Demersal;Teleost;NA
457;Whiting (adult);Demersal;Teleost;NA
457;Witch;Demersal;Teleost;NA
457;Herring (adult);Pelagic;Teleost;Small
457;Herring (juvenile 0, 1);Pelagic;Teleost;Small
457;Horse mackerel;Pelagic;Teleost;Medium
